,label,text
0,2,"['wife', 'took', 'birthday', 'breakfast', 'excel', 'weather', 'perfect', 'made']"
1,0,"['idea', 'peopl', 'give', 'bad', 'review', 'place', 'goe', 'show']"
2,0,"['love', 'gyro', 'plate', 'rice', 'good', 'also', 'dig', 'candi', 'select', '\\)']"
3,1,"['rosi', 'dakota', 'love', 'chaparr', 'dog', 'park', 'conveni', 'surround']"
4,0,"['general', 'manag', 'scott', 'petello', 'good', 'egg', 'go', 'detail', 'let']"
5,4,"['quiessenc', 'simpli', 'put', 'beauti', 'full', 'window', 'earthi', 'wooden', 'wall', 'give', 'feel', 'warmth', 'insid']"
6,7,"['drop', 'drive', 'ate', 'go', 'back', 'next', 'day']"
7,0,"['luckili', 'travel', 'far', 'make', 'connect', 'flight', 'thank']"
8,0,"['definit', 'come', 'happi', 'hour', 'price', 'amaz', 'sake', 'bomber', '3', 'great', 'atmospher', 'wait', 'staff']"
9,0,"['nobuo', 'show', 'uniqu', 'talent', 'everyth', 'menu', 'care', 'craft', 'featur', 'much', 'drink', 'start']"
